Time,Asset,Action,Quantity,Price,Strategy,PnL,Entry_Price,Exit_Price,Holding_Hours,Trade_Reason,PnL_Percent
2026-04-06 12:43,BTC,BUY,0.1,45000,Momentum,-8.237113215935674,45000,44962.932990528294,55,MACD crossover,-0.02
2026-04-06 12:13,ETH,SELL,0.12,45200,Mean Reversion,-18.534132756044787,45200,45116.225719942675,57,Support bounce,-0.04
2026-04-06 11:43,ADA,BUY,0.14,45400,Breakout,-8.754946847728762,45400,45360.25254131131,3,Resistance rejection,-0.02
2026-04-06 11:13,SOL,SELL,0.16,45600,Momentum,17.92981964992586,45600,45681.759977603666,22,Resistance rejection,0.04
2026-04-06 10:43,DOT,BUY,0.18,45800,Mean Reversion,9.899378386468122,45800,45845.33915301003,35,Volume spike,0.02
2026-04-06 10:13,XRP,SELL,0.2,46000,Breakout,30.98094023945568,46000,46142.512325101496,62,Volume spike,0.07
2026-04-06 09:43,LINK,BUY,0.22,46200,Momentum,24.48290900136179,46200,46313.11103958629,22,Trend breakout,0.05
2026-04-06 09:13,UNI,SELL,0.24,46400,Mean Reversion,3.381657751151039,46400,46415.69089196534,33,MACD crossover,0.01
2026-04-06 08:43,AAVE,BUY,0.26,46600,Breakout,-13.23140626803269,46600,46538.34164679097,62,Moving average cross,-0.03
2026-04-06 08:13,MATIC,SELL,0.28,46800,Momentum,-0.7492546810452012,46800,46796.49348809271,43,RSI oversold,-0.0
2026-04-06 07:43,BTC,BUY,0.3,47000,Mean Reversion,17.50145777797612,47000,47082.256851556485,67,Support bounce,0.04
2026-04-06 07:13,ETH,SELL,0.32,47200,Breakout,22.45451102654653,47200,47305.9852920453,1,MACD crossover,0.05
2026-04-06 06:43,ADA,BUY,0.34,47400,Momentum,6.7142772417482135,47400,47431.82567412589,52,Resistance rejection,0.01
2026-04-06 06:13,SOL,SELL,0.36,47600,Mean Reversion,-13.341569853297152,47600,47536.49412749831,32,Pattern completion,-0.03
2026-04-06 05:43,DOT,BUY,0.38,47800,Breakout,13.791120731510446,47800,47865.92155709662,23,Resistance rejection,0.03
2026-04-06 05:13,XRP,SELL,0.4,48000,Momentum,32.69959217333516,48000,48156.95804243201,45,Volume spike,0.07
2026-04-06 04:43,LINK,BUY,0.42,48200,Mean Reversion,5.676325495214897,48200,48227.35988888693,18,Moving average cross,0.01
2026-04-06 04:13,UNI,SELL,0.44,48400,Breakout,23.36761223119666,48400,48513.099243198994,40,Liquidity grab,0.05
2026-04-06 03:43,AAVE,BUY,0.46,48600,Momentum,4.187145642631986,48600,48620.349527823186,6,Trend breakout,0.01
2026-04-06 03:13,MATIC,SELL,0.48,48800,Mean Reversion,-31.686455095578456,48800,48645.37009913358,41,Trend breakout,-0.06
2026-04-06 02:43,BTC,BUY,0.5,49000,Breakout,28.592558961068804,49000,49140.103538909236,10,Pattern completion,0.06
2026-04-06 02:13,ETH,SELL,0.52,49200,Momentum,42.98012109628267,49200,49411.46219579371,19,Support bounce,0.09
2026-04-06 01:43,ADA,BUY,0.54,49400,Mean Reversion,25.191382917006777,49400,49524.44543161002,18,Moving average cross,0.05
2026-04-06 01:13,SOL,SELL,0.56,49600,Breakout,25.057687631560302,49600,49724.28613065254,69,RSI oversold,0.05
2026-04-06 00:43,DOT,BUY,0.58,49800,Momentum,-10.64201455603425,49800,49747.00276751095,58,Support bounce,-0.02
2026-04-06 00:13,XRP,SELL,0.6,50000,Mean Reversion,20.71720478924373,50000,50103.58602394622,3,Volume spike,0.04
2026-04-05 23:43,LINK,BUY,0.62,50200,Breakout,38.65378599159063,50200,50394.04200567779,64,News catalyst,0.08
2026-04-05 23:13,UNI,SELL,0.64,50400,Momentum,-2.0115723253398734,50400,50389.861675480286,59,Trend breakout,-0.0
2026-04-05 22:43,AAVE,BUY,0.66,50600,Mean Reversion,-27.82196012984684,50600,50459.22088174298,69,Volume spike,-0.05
2026-04-05 22:13,MATIC,SELL,0.68,50800,Breakout,-13.57737595944612,50800,50731.02693012601,5,RSI oversold,-0.03
2026-04-05 21:43,BTC,BUY,0.7,51000,Momentum,-0.2494496566647619,51000,50998.727806751005,28,Volume spike,-0.0
2026-04-05 21:13,ETH,SELL,0.72,51200,Mean Reversion,16.001276891102876,51200,51281.92653768244,52,RSI oversold,0.03
2026-04-05 20:43,ADA,BUY,0.74,51400,Breakout,21.09780254285458,51400,51508.44270507028,39,Volume spike,0.04
2026-04-05 20:13,SOL,SELL,0.76,51600,Momentum,-19.693098657724374,51600,51498.38361092614,60,News catalyst,-0.04
2026-04-05 19:43,DOT,BUY,0.78,51800,Mean Reversion,-18.09890484337965,51800,51706.24767291129,66,Trend breakout,-0.03
2026-04-05 19:13,XRP,SELL,0.8,52000,Breakout,-12.023526225148649,52000,51937.47766362922,65,Support bounce,-0.02
2026-04-05 18:43,LINK,BUY,0.82,52200,Momentum,31.850542884904485,52200,52366.2598338592,13,Moving average cross,0.06
2026-04-05 18:13,UNI,SELL,0.84,52400,Mean Reversion,10.941083825880405,52400,52457.331279247606,60,Liquidity grab,0.02
2026-04-05 17:43,AAVE,BUY,0.86,52600,Breakout,33.31984794328152,52600,52775.26240018166,49,Moving average cross,0.06
